,mean,reps,sem,std,norm.GR,norm.GR_sem
acpS_1_63_B_MM10,-0.16550898268839315,6.0,0.015071702560782024,0.03691798082891452,0.8662043103600015,0.012183802990109125
acpS_1_63_B_MM11,-0.18867808393020422,6.0,0.009702568338235105,0.02376634162315971,0.847474656968177,0.007843452367400834
acpS_1_63_B_MM12,-0.1451271480290483,5.0,0.001538641359032974,0.00344050667179039,0.8826807672874761,0.001243821201704953
acpS_1_63_B_MM13,-0.16180082415583233,6.0,0.0072433657770509035,0.01774255017411289,0.8692019460175928,0.005855459345550393
acpS_1_63_B_MM14,-0.13632446126608624,5.0,0.004285061291206635,0.009581688334891057,0.8897967650237004,0.0034639976712687553
acpS_1_63_B_MM2,-0.32554835183516734,6.0,0.017191267383102588,0.04210983312035279,0.7368301977485014,0.013897236500077454
acpS_1_63_B_MM3,-0.2514096050462893,6.0,0.010729686942316952,0.026282258108479974,0.7967631669115027,0.008673764050446668
acpS_1_63_B_MM4,-0.20569636770674463,6.0,0.007922697731142831,0.01940656682760592,0.8337172585636546,0.006404624024203158
acpS_1_63_B_MM5,-0.30605265098560586,6.0,0.01391051871769251,0.03407367291578121,0.7525903135912358,0.011245114403173108
acpS_1_63_B_MM6,-0.2549101379963616,6.0,0.01244620346215282,0.03048684771713581,0.7939333735519226,0.010061377627785128
acpS_1_63_B_MM7,-0.19358054156370033,6.0,0.02089681957791931,0.05118654521290405,0.8435115627037442,0.01689276522214048
acpS_1_63_B_MM8,-0.19688607761917395,6.0,0.020541976276621333,0.05031736018607933,0.8408394027460903,0.0166059136963796
acpS_1_63_B_MM9,-0.21859454534333705,5.0,0.008900737907074232,0.019902655010127192,0.8232905098521593,0.007195261231373571
acpS_1_63_C,-0.2801917935767255,6.0,0.018079332274967698,0.04428513896390223,0.7734959538501525,0.014615138650898274
acpS_1_63_D_MM2-8,-0.22193771898590628,6.0,0.012436314501202077,0.030462624808720182,0.8205879240720514,0.010053383497625324
acpS_1_63_D_MM3-10,-0.1408226224084731,6.0,0.01163136097048494,0.028490899391811448,0.8861604997142183,0.009402667681353172
acpS_1_63_D_MM4-6,-0.7525302724964794,6.0,0.0764754630054885,0.1873258622065385,0.3916625844217492,0.06182194553525639
acpS_1_63_D_MM7-9,-0.4140717449385678,6.0,0.017813131417716524,0.0436330826945454,0.6652688345091348,0.014399944727884828
acpS_1_63_D_MM9-19,-0.017403134695271577,5.0,0.008282565381151168,0.018520379220340468,0.98593149223305,0.0066955371796700225
acpS_1_63_W_MM1,-0.3325575881558691,6.0,0.00920254715126764,0.022541544854508638,0.7311640061488368,0.007439240593162104
acpS_1_63_W_MM10,-0.24430215513114922,5.0,0.011736448716809353,0.026243497145225895,0.802508753329421,0.009487619490395826
acpS_1_63_W_MM11,-0.28896392118729225,6.0,0.011495065439931408,0.028157044887733382,0.7664046598055534,0.009292487833655164
acpS_1_63_W_MM13,-0.2818975618483998,6.0,0.01908061121732473,0.046737761462870564,0.7721170290415553,0.015424561828049263
acpS_1_63_W_MM16,-0.3171240988034219,6.0,0.020827115740914264,0.05101580637912755,0.7436402737079816,0.016836417386565883
acpS_1_63_W_MM19,,,,,,
acpS_1_63_W_MM2,-0.310129210030946,6.0,0.01661585119464474,0.0407003570688939,0.7492948669032675,0.013432076213824687
acpS_1_63_W_MM20,-0.4037083603014491,6.0,0.03243722824481639,0.07945465786999452,0.6736464836977495,0.026221908035022945
acpS_1_63_W_MM3,-0.2696393842771797,6.0,0.02456932734982595,0.060182315330480865,0.7820264085521453,0.019861581186501803
acpS_1_63_W_MM4,-0.509813713139406,6.0,0.024310222859191627,0.05954764153836303,0.5878720524442039,0.0196521238902866
acpS_1_63_W_MM5,-0.279893233000378,6.0,0.005791429845377645,0.01418604800230091,0.7737373070236351,0.004681729883041041
acpS_1_63_W_MM6,-0.2850762507346306,6.0,0.013007318512941672,0.031861293278564365,0.7695474109774715,0.010514977027456516
acpS_1_63_W_MM7,-0.30541582339644013,5.0,0.004515637059561093,0.010097271426895872,0.7531051181963406,0.003650392653825921
acpS_1_63_W_MM8,-0.2576645789510225,6.0,0.010513772413954101,0.025753377685937304,0.7917067129736545,0.008499221057333167
acpS_1_63_W_MM9,-0.37018141538901256,5.0,0.01624542165514424,0.036325867144049666,0.7007493070201978,0.013132624939969615
acpS_2_129_C,-0.011950654225777438,5.0,0.0035283667660423847,0.00788966793842187,0.9903392190694723,0.002852293918417025
acpS_3_204_B_MM10,-0.02251370514784428,5.0,0.007828852564108849,0.017505846519170917,0.9818001617937643,0.006328760595894061
acpS_3_204_B_MM11,-0.18152493843218145,5.0,0.012435720935584193,0.02780711736118354,0.8532571832060736,0.010052903665534633
