,mean,reps,sem,std,norm.GR,norm.GR_sem
acpS_1_63_B_MM10,-0.08644642968554153,4.0,0.026491337349071418,0.052982674698142836,0.9261985327696779,0.022616313621820955
acpS_1_63_B_MM11,-0.20212316521232015,4.0,0.003526454438955909,0.007052908877911818,0.8274424263885947,0.003010621869087523
acpS_1_63_B_MM12,-0.16998805169829218,4.0,0.00792908009671063,0.01585816019342126,0.8548769721017634,0.006769252900931099
acpS_1_63_B_MM13,-0.1718242574963692,6.0,0.01573265565674665,0.03853697865794066,0.8533093575394516,0.013431359457191386
acpS_1_63_B_MM14,-0.06215763886528028,3.0,0.01919342806461282,0.03324399257932779,0.9469344776352583,0.016385906942608892
acpS_1_63_B_MM2,,,,,,
acpS_1_63_B_MM3,-0.15856676213344306,4.0,0.004035425355301572,0.008070850710603143,0.8646276110884098,0.003445143000156906
acpS_1_63_B_MM4,-0.10564215585710555,3.0,0.00975804095532568,0.016901422716962024,0.9098106638760034,0.00833068227821857
acpS_1_63_B_MM5,-0.19818270738708038,5.0,0.021759817335957648,0.04865643074117968,0.8308064932461822,0.01857689729812017
acpS_1_63_B_MM6,-0.20376073517927398,4.0,0.015103450430156061,0.030206900860312122,0.826044392176041,0.012894191304842125
acpS_1_63_B_MM7,-0.08942032573724269,4.0,0.024547352353511676,0.04909470470702335,0.923659643739739,0.020956685277794207
acpS_1_63_B_MM8,-0.1653225258933946,6.0,0.011799896948965825,0.028903726542390304,0.8588600475284164,0.010073865527681023
acpS_1_63_B_MM9,-0.24881645093781166,6.0,0.02187553610600432,0.053583901309540646,0.7875792069487489,0.018675689290416422
acpS_1_63_C,-0.14612387935169532,3.0,0.007080392651981001,0.012263599810768437,0.8752504096147148,0.0060447073197100005
acpS_1_63_D_MM2-8,-0.12569210049717147,4.0,0.014107101361599367,0.028214202723198734,0.8926935274285385,0.012043583322528343
acpS_1_63_D_MM3-10,-0.11919342020355779,5.0,0.0045845840469400136,0.010251441577518958,0.8982416124388056,0.003913973434596231
acpS_1_63_D_MM4-6,-0.8996420084982627,6.0,0.05194603086626953,0.12724126978522557,0.23195324028158895,0.0443476186196211
acpS_1_63_D_MM7-9,-0.20519358722970957,5.0,0.007113119206655772,0.01590541807814168,0.8248211307408285,0.006072646793453187
acpS_1_63_D_MM9-19,-0.2968182945548369,4.0,0.028810060017509506,0.05762012003501901,0.7465988390887511,0.02459586483814562
acpS_1_63_W_MM1,,,,,,
acpS_1_63_W_MM10,,,,,,
acpS_1_63_W_MM11,-0.15011846282238756,4.0,0.022188882361546928,0.044377764723093856,0.8718401343473212,0.018943200782727824
acpS_1_63_W_MM13,-0.12163214882784658,3.0,0.005656517452414462,0.009797375621481917,0.8961596091530273,0.004829109645368409
acpS_1_63_W_MM16,-0.17220512300392624,5.0,0.01043253364417897,0.023327854405937782,0.8529842031822691,0.008906513463550026
acpS_1_63_W_MM19,-0.017438894769172833,3.0,0.012268309473540587,0.02124933533115088,0.9851119817727371,0.010473760950874638
acpS_1_63_W_MM2,-0.17227125570688173,4.0,0.01280812115577211,0.02561624231154422,0.8529277440488175,0.010934611610892328
acpS_1_63_W_MM20,-0.399307945571105,6.0,0.016230153176793636,0.03975559373035582,0.6591008747605686,0.013856085464459388
acpS_1_63_W_MM3,-0.17474166008406722,3.0,0.019754157524073113,0.034215204492413644,0.850818698384911,0.01686461562934088
acpS_1_63_W_MM4,-0.6973155253565426,5.0,0.009264511746778826,0.020716078044142775,0.4046843914665104,0.007909344117183224
acpS_1_63_W_MM5,,,,,,
acpS_1_63_W_MM6,-0.15456589962836545,5.0,0.007584695139728138,0.016959893921044383,0.8680432469236384,0.006475242897165608
acpS_1_63_W_MM7,-0.1502219449713734,4.0,0.012523381108502839,0.025046762217005678,0.8717517890627897,0.010691521950114607
acpS_1_63_W_MM8,-0.09381987463025013,4.0,0.025041369973009174,0.05008273994601835,0.9199036394184895,0.02137844040740651
acpS_1_63_W_MM9,-0.25991381312386164,5.0,0.010080343719998715,0.022540333794480234,0.7781051128225255,0.008605840165152534
acpS_2_129_C,-0.09801187201603197,3.0,0.01240921174650526,0.021493385226827633,0.9163248269814489,0.010594052726008753
acpS_3_204_B_MM10,-0.17397333630411585,3.0,0.003762332791707222,0.006516551550219362,0.8514746355066015,0.0032119970859037935
acpS_3_204_B_MM11,-0.13746559359188884,3.0,0.01866315178735254,0.0323255271250645,0.8826422035279802,0.015933196894992115
acpS_3_204_B_MM12,-0.3162532691234347,5.0,0.02325395609976404,0.05199742658486828,0.7300067178876322,0.01985248072493987
acpS_3_204_B_MM13,-0.06732306820770192,5.0,0.02016716510631553,0.0450951520911833,0.9425246221243715,0.017217210475161754
acpS_3_204_B_MM14,-0.009023564314148512,3.0,0.02623013944682432,0.045431934211516325,0.9922963586992105,0.022393322475819443
acpS_3_204_B_MM2,-0.13001494677911998,4.0,0.01741396044928528,0.03482792089857056,0.8890030060341967,0.014866731178176136
acpS_3_204_B_MM3,,,,,,
acpS_3_204_B_MM4,-0.11781924031333907,4.0,0.0054252887923947595,0.010850577584789519,0.8994147839914707,0.0046317039868903065
acpS_3_204_B_MM5,-0.08199120844971129,3.0,0.020469909873864017,0.03545492392788831,0.9300020659547502,0.017475671213478608
acpS_3_204_B_MM6,-0.07514162072290595,4.0,0.019073327282675457,0.038146654565350914,0.935849729368958,0.016283373917766467
acpS_3_204_B_MM7,-0.10669419322648886,3.0,0.0013129345094147892,0.0022740692773169334,0.9089125134061222,0.0011208848476982362
acpS_3_204_B_MM8,-0.15893757315946702,5.0,0.005198939534681579,0.011625182210459137,0.8643110404922,0.004438463995528107
acpS_3_204_B_MM9,-0.027314269307329043,6.0,0.010224260285346147,0.025044220696500794,0.976681128896383,0.008728705316669201
acpS_3_204_C,-0.13015144991912472,5.0,0.015708083769670717,0.03512434310524488,0.8888864699082915,0.013410381826010802
acpS_3_204_D_MM2-8,-0.15284512221342766,3.0,0.0018861393070496327,0.003266889109962719,0.8695123174041796,0.0016102440409326406
acpS_3_204_D_MM3-10,-0.15184761479850947,6.0,0.008246622527258683,0.020200017293124834,0.8703639142955941,0.007040346772217359
acpS_3_204_D_MM4-6,,,,,,
acpS_3_204_D_MM7-9,-0.0907384971430964,3.0,0.020466996233983396,0.03544987735558011,0.922534288023292,0.017473183766640688
acpS_3_204_D_MM9-19,-0.3154164518253944,6.0,0.021101653507210473,0.05168828382167673,0.730721129629375,0.0180150064668139
acpS_3_204_W_MM1,-0.10304112389144635,5.0,0.005758766364508598,0.012876993057580558,0.9120312295613289,0.004916402084890797
acpS_3_204_W_MM10,-0.13688253316670854,3.0,0.06965338432604705,0.12064320057183515,0.8831399767155922,0.059464826708506134
acpS_3_204_W_MM11,-0.16869892825863744,4.0,0.020392267465152453,0.04078453493030491,0.8559775288469476,0.017409385957938804
acpS_3_204_W_MM13,-0.02932383916202271,6.0,0.002925184610816013,0.007165209699941027,0.9749655091268018,0.0024973028612410987
acpS_3_204_W_MM16,0.007890452862669586,5.0,0.011622900025237205,0.02598959455211441,1.0067362758704435,0.009922758851396735
acpS_3_204_W_MM19,-0.28922375212414836,6.0,0.01767341106717337,0.043290839129031866,0.7530824888631443,0.015088230624059642
acpS_3_204_W_MM2,-0.13961851515812465,3.0,0.019150257182783403,0.03316921841859168,0.8808042008366258,0.016349050886988924
acpS_3_204_W_MM20,-0.040291874229236864,4.0,0.0057014281891414696,0.011402856378282939,0.9656018247787205,0.004867451058390378
acpS_3_204_W_MM3,,,,,,
acpS_3_204_W_MM4,,,,,,
acpS_3_204_W_MM5,,,,,,
acpS_3_204_W_MM6,-0.12079403944171305,4.0,0.01585644076408091,0.03171288152816182,0.8968751239825137,0.013537037882266461
acpS_3_204_W_MM7,,,,,,
acpS_3_204_W_MM8,-0.13682332707014175,3.0,0.011931415495229228,0.0206658178439516,0.8831905224328821,0.010186146181926037
acpS_3_204_W_MM9,,,,,,
argG_1_24_B_MM10,0.034018348628337886,4.0,0.006057038241121625,0.01211407648224325,1.0290423103725226,0.005171044204960501
argG_1_24_B_MM11,0.022307512017399292,3.0,0.009942638093613542,0.017221154339408417,1.0190444778706396,0.00848827744671448
argG_1_24_B_MM12,0.009562682939606654,6.0,0.008701802177385727,0.02131497517723466,1.0081639002810012,0.007428944961349732
argG_1_24_B_MM13,0.01378201111601399,4.0,0.01269824673309346,0.02539649346618692,1.0117660456938058,0.010840809083312348
argG_1_24_B_MM14,-0.011210739302434844,6.0,0.009999196752330138,0.024492929880903538,0.990429113009456,0.00853656298046119
argG_1_24_B_MM2,,,,,,
argG_1_24_B_MM3,,,,,,
argG_1_24_B_MM4,,,,,,
argG_1_24_B_MM5,,,,,,
argG_1_24_B_MM6,,,,,,
argG_1_24_B_MM7,,,,,,
argG_1_24_B_MM8,,,,,,
argG_1_24_B_MM9,-0.0761745290430584,3.0,0.009535660667308354,0.016516248759514213,0.9349679098442077,0.008140830695007087
argG_1_24_C,,,,,,
argG_1_24_D_MM2-8,,,,,,
argG_1_24_D_MM3-10,-0.09403733549391546,4.0,0.019389749154429974,0.03877949830885995,0.9197179876702096,0.016553511140138696
argG_1_24_D_MM4-6,,,,,,
argG_1_24_D_MM7-9,-0.18363562107179307,3.0,0.013389752610603257,0.023191731822342854,0.8432257026675506,0.01143116485097397
argG_1_24_D_MM9-19,-0.09426155783026459,4.0,0.009656954255131453,0.019313908510262906,0.9195265634845194,0.008244382047903176
argG_1_24_W_MM1,-0.16230563940480952,3.0,0.05905672729292694,0.10228925220008907,0.861435638563637,0.05041819702552716
argG_1_24_W_MM10,,,,,,
argG_1_24_W_MM11,,,,,,
argG_1_24_W_MM13,-0.022626885898597526,6.0,0.007876672995311158,0.01929382970927193,0.9806828647030996,0.006724511654928937
argG_1_24_W_MM16,-0.21467409545279334,4.0,0.018623002019682672,0.037246004039365344,0.8167273850592791,0.01589892003967523
argG_1_24_W_MM19,,,,,,
argG_1_24_W_MM2,,,,,,
argG_1_24_W_MM20,-0.10680802098009277,4.0,0.006314352000662304,0.012628704001324608,0.9088153358215989,0.005390719361722107
argG_1_24_W_MM3,,,,,,
argG_1_24_W_MM4,,,,,,
argG_1_24_W_MM5,,,,,,
argG_1_24_W_MM6,,,,,,
argG_1_24_W_MM7,,,,,,
argG_1_24_W_MM8,,,,,,
argG_1_24_W_MM9,,,,,,
argG_2_71_C,,,,,,
argG_3_219_B_MM10,-0.08168542558672666,4.0,0.0036220072775914086,0.007244014555182817,0.9302631203907081,0.0030921977041448445
argG_3_219_B_MM11,-0.07250174854933746,4.0,0.010557732652344935,0.02111546530468987,0.9381034539058597,0.009013398970933506
argG_3_219_B_MM12,-0.16297930965954568,6.0,0.005172060878637832,0.01266891007127352,0.860860509510768,0.004415517018302748
argG_3_219_B_MM13,-0.08437996262852332,3.0,0.004909636858572865,0.008503740485761056,0.9279627270961046,0.004191479105022528
argG_3_219_B_MM14,-0.18463512520604627,6.0,0.012641301850357523,0.03096473921787676,0.8423724011271748,0.01079219382051366
argG_3_219_B_MM2,,,,,,
argG_3_219_B_MM3,-0.21852708905314844,4.0,0.028136257639617395,0.05627251527923479,0.8134379885859994,0.024020622988452034
argG_3_219_B_MM4,-0.2052040008734357,4.0,0.017480539214619926,0.03496107842923985,0.8248122403541579,0.014923571126175771
argG_3_219_B_MM5,-0.1190547648620251,4.0,0.008079012991698041,0.016158025983396083,0.8983599859526877,0.006897254342707374
argG_3_219_B_MM6,-0.015435113466099451,6.0,0.00960911605658758,0.023537431217824412,0.9868226597118196,0.008203541387912522
argG_3_219_B_MM7,-0.022879794609786903,5.0,0.01161462148614711,0.025971083175954573,0.9804669502456836,0.009915691256660955
argG_3_219_B_MM8,-0.05268623386189572,6.0,0.011656967404011185,0.028553622088083246,0.9550204516717234,0.009951843020024134
argG_3_219_B_MM9,-0.01185582545247291,5.0,0.012987199480822265,0.029040260876468563,0.9898783869177485,0.011087495231256126
argG_3_219_C,,,,,,
argG_3_219_D_MM2-8,-0.07421397723939505,3.0,0.016913872853548183,0.02929568713510544,0.9366416816843838,0.014439793958867766
argG_3_219_D_MM3-10,,,,,,
argG_3_219_D_MM4-6,-0.011917720628020075,6.0,0.009373647950845327,0.02296065450805618,0.9898255454668469,0.008002516409172081
argG_3_219_D_MM7-9,-0.09116824793620677,3.0,0.0044700885346191715,0.007742420456291515,0.9221673990818943,0.003816225767846972
argG_3_219_D_MM9-19,0.0013021750752074228,6.0,0.00903134690400389,0.022122191604874136,1.0011116992510927,0.0077102854913277275
argG_3_219_W_MM1,,,,,,
argG_3_219_W_MM10,,,,,,
argG_3_219_W_MM11,,,,,,
argG_3_219_W_MM13,-0.0770918638170234,4.0,0.02119107812172062,0.04238215624344124,0.9341847583305329,0.018091350484506264
argG_3_219_W_MM16,-0.03617579458555845,3.0,0.02516318445711368,0.043583913959948366,0.9691158243510027,0.021482436462414444
argG_3_219_W_MM19,-0.047839211614291145,5.0,0.014089903950794826,0.031505983030420084,0.9591584751259304,0.012028901465168189
argG_3_219_W_MM2,,,,,,
argG_3_219_W_MM20,-0.004986537838687715,6.0,0.0028347825007397445,0.006943770658583251,0.9957428686154725,0.002420124331270397
argG_3_219_W_MM3,,,,,,
argG_3_219_W_MM4,,,,,,
argG_3_219_W_MM5,,,,,,
argG_3_219_W_MM6,-0.024143074149340804,6.0,0.0049527067995500515,0.012131604504510353,0.9793884570808387,0.004228248984926213
argG_3_219_W_MM7,,,,,,
argG_3_219_W_MM8,-0.15790714990482707,4.0,0.00658861954936895,0.0131772390987379,0.8651907384547106,0.005624868389991341
argG_3_219_W_MM9,,,,,,
aroB_1_73_B_MM10,,,,,,
aroB_1_73_B_MM11,-0.37319815194170597,4.0,0.10073321721111067,0.20146643442222134,0.6813914550186547,0.08599845310041881
aroB_1_73_B_MM12,-0.33473310591202365,4.0,0.08120798932343329,0.16241597864686658,0.7142300215667331,0.06932928039590394
aroB_1_73_B_MM13,-0.13698051444565582,3.0,0.059520193489383325,0.10309199919994222,0.8830563276606375,0.05081386964537462
aroB_1_73_B_MM14,,,,,,
aroB_1_73_B_MM2,,,,,,
aroB_1_73_B_MM3,,,,,,
aroB_1_73_B_MM4,,,,,,
aroB_1_73_B_MM5,,,,,,
aroB_1_73_B_MM6,,,,,,
aroB_1_73_B_MM7,,,,,,
aroB_1_73_B_MM8,,,,,,
aroB_1_73_B_MM9,,,,,,
aroB_1_73_C,,,,,,
aroB_1_73_D_MM2-8,-1.009587964303003,5.0,0.12190751771896476,0.2725934965878653,0.13808964309259944,0.10407548011865263
aroB_1_73_D_MM3-10,-0.4898765661089472,6.0,0.067653093424216,0.16571555841016913,0.5817801906671575,0.057757128611782
aroB_1_73_D_MM4-6,,,,,,
aroB_1_73_D_MM7-9,-0.5544264922367005,6.0,0.028920844051906477,0.0708413108577768,0.5266723131623695,0.024690443923874577
aroB_1_73_D_MM9-19,-0.19245012264219438,6.0,0.015872244795467783,0.03887890082144201,0.8357005434311778,0.013550530176959811
aroB_1_73_W_MM1,,,,,,
aroB_1_73_W_MM10,-0.8554103213714384,6.0,0.2172129057119441,0.5320607845415366,0.2697149317696778,0.18544006040754105
aroB_1_73_W_MM11,-0.7460392985374193,4.0,0.1487853325024611,0.2975706650049222,0.3630876943810836,0.1270217391392104
aroB_1_73_W_MM13,-0.5557812249008508,6.0,0.05939760002826816,0.14549381201518066,0.5255157441903157,0.05070920855831696
aroB_1_73_W_MM16,,,,,,
aroB_1_73_W_MM19,-0.281243302280148,3.0,0.004845358622442453,0.008392407314962273,0.7598955973950716,0.004136603176026296
aroB_1_73_W_MM2,,,,,,
aroB_1_73_W_MM20,-0.5689825199787375,4.0,0.056361412186830925,0.11272282437366185,0.514245470222582,0.04811713947807813
aroB_1_73_W_MM3,-0.5090111542086869,5.0,0.09768422348055672,0.21842856403180594,0.5654445168661048,0.08339545131411635
aroB_1_73_W_MM4,-1.1960906544704812,4.0,0.3007308381001979,0.6014616762003958,-0.021132342440299372,0.25674139665378365
aroB_1_73_W_MM5,-0.8570534119681263,6.0,0.07398339786495323,0.1812215742064498,0.2683121844582038,0.06316146696838587
aroB_1_73_W_MM6,,,,,,
aroB_1_73_W_MM7,-0.6706083465213452,6.0,0.08800343287764593,0.2155635061635016,0.42748497433372673,0.07513071958322538
aroB_1_73_W_MM8,-0.8153279977495446,5.0,0.05621079314239822,0.12569115453558144,0.303934208425254,0.04798855225345361
aroB_1_73_W_MM9,-0.8873435396549689,5.0,0.2210200163037033,0.4942157808431924,0.24245274903658487,0.18869028541512078
aroB_2_122_C,-0.6371329511334655,6.0,0.0784950415945824,0.1922727992452685,0.4560637520198326,0.0670131694398276
aroB_3_204_B_MM10,0.21415859816917157,6.0,0.014122981785088279,0.03459409902008739,1.1828325220875755,0.012057140835059326
aroB_3_204_B_MM11,,,,,,
aroB_3_204_B_MM12,-0.11190237424579622,4.0,0.015017002756742597,0.030034005513485194,0.9044661597253028,0.01282038877581034
aroB_3_204_B_MM13,0.07794784445788464,5.0,0.022048026025445068,0.049300884962579686,1.0665460136336316,0.018822948225036096
aroB_3_204_B_MM14,0.038141607649188634,4.0,0.016627280163628026,0.03325456032725605,1.0325624391576718,0.01419512265097765
aroB_3_204_B_MM2,-0.08095145049865257,5.0,0.011863466071260095,0.026527516584099936,0.9308897331797779,0.01012813606855734
aroB_3_204_B_MM3,0.0002946141949464118,5.0,0.013073425069592496,0.029233067154358743,1.0002515194662525,0.011161108161104006
aroB_3_204_B_MM4,0.0025831122489713455,4.0,0.018355797335921433,0.036711594671842866,1.0022052671774668,0.015670800754886628
aroB_3_204_B_MM5,0.05418229147163225,5.0,0.010058406025444952,0.022491279618188392,1.046256769921595,0.00858711140964918
aroB_3_204_B_MM6,0.08011165695944614,6.0,0.013395926652943653,0.032813184931461264,1.068393314187367,0.011436435784488759
aroB_3_204_B_MM7,0.10351087696302998,4.0,0.009540655179683735,0.01908131035936747,1.08836981032019,0.008145094634451941
aroB_3_204_B_MM8,0.06073910529023603,5.0,0.015503802733471985,0.034667556821790416,1.0518544849681186,0.013235982024264929
aroB_3_204_B_MM9,0.07350837921496198,3.0,0.0105165428712077,0.018215186572908014,1.0627559317316082,0.008978234230250962
aroB_3_204_C,0.026981865271074868,5.0,0.00895639788527397,0.02002711450500796,1.0230350895098823,0.007646299649808745
aroB_3_204_D_MM2-8,0.036155937606939845,5.0,0.006404011546424829,0.014319805146499468,1.0308672232524418,0.005467263946068142
aroB_3_204_D_MM3-10,0.009477753190847343,6.0,0.012584314513700014,0.03082514932126566,1.0080913936420024,0.01074354231374616
aroB_3_204_D_MM4-6,-0.010011500066599743,4.0,0.014444744253816222,0.028889488507632444,0.9914529333741229,0.012331837457906026
aroB_3_204_D_MM7-9,0.010066842192973196,5.0,0.007254936954856935,0.01622253220353543,1.0085943135757034,0.006193720132567582
aroB_3_204_D_MM9-19,-0.11308521486677253,3.0,0.006906267578993141,0.011962006337481824,0.9034563392660286,0.005896052413835499
aroB_3_204_W_MM1,0.018503984204813546,5.0,0.007880741456565985,0.01762187360998225,1.015797311570756,0.006727985001498231
aroB_3_204_W_MM10,0.08696547728615844,4.0,0.007577669696553567,0.015155339393107134,1.0742445910773943,0.006469245101581538
aroB_3_204_W_MM11,-0.13569620447777447,6.0,0.010273344795717041,0.025164452701183834,0.8841527750252417,0.00877060998406647
aroB_3_204_W_MM13,0.030903272381675298,4.0,0.012547928463103545,0.02509585692620709,1.026382892298528,0.010712478637310887
aroB_3_204_W_MM16,0.09469840117198851,6.0,0.00782106311062861,0.019157613867144676,1.0808463805420447,0.006677036113174233
aroB_3_204_W_MM19,-0.06481872084735676,3.0,0.02256156370731038,0.03907777463926362,0.9446626457572754,0.01926136811742012
aroB_3_204_W_MM2,-0.0014222737168748435,6.0,0.013960984945785704,0.034197289423852445,0.9987857695512665,0.011918840103951119
aroB_3_204_W_MM20,-0.17202194945628765,4.0,0.021046813316654714,0.04209362663330943,0.8531405829960182,0.017968188032080067
aroB_3_204_W_MM3,0.0010502967483255726,6.0,0.009077504764780786,0.02223525481139596,1.000896664458389,0.007749691605171173
aroB_3_204_W_MM4,-0.08414877302428835,3.0,0.009061859464519886,0.01569560100359734,0.9281600994116879,0.007736334823188233
aroB_3_204_W_MM5,0.058326638243171566,4.0,0.011344774888860518,0.022689549777721037,1.0497949018440287,0.00968531650458266
