"Well,Fluor,Target,Content,Sample,Cq,SQ"
"A01,SYBR,dapA,Unkn,dapA_0,24.2,"
"A02,SYBR,dapA,Unkn,dapA_2,24.79,"
"A03,SYBR,dapA,Unkn,dapA_3,23.78,"
"A04,SYBR,dapA,Unkn,dapA_4,24.24,"
"A05,SYBR,dapA,Unkn,dapA_5,24.54,"
"A06,SYBR,dapA,Unkn,dapA_6,24.22,"
"A07,SYBR,dapA,Unkn,dapA_7,23.66,"
"A08,SYBR,dapA,Unkn,dapA_8,23.66,"
"A09,SYBR,dapA,Unkn,dapA_9,23.25,"
"A10,SYBR,dapA,Unkn,dapA_10,22.4,"
"A11,SYBR,dapA,Unkn,dapA_11,21.58,"
"A12,SYBR,dapA,Unkn,dapA_12,21.25,"
"A13,SYBR,dapA,Unkn,dapA_negC,21.5,"
"A14,SYBR,dapB,Unkn,dapB_9,24.51,"
"A15,SYBR,,Unkn,,,"
"A16,SYBR,,Unkn,,,"
"A17,SYBR,,Unkn,,,"
"A18,SYBR,,Unkn,,,"
"A19,SYBR,,Unkn,,,"
"A20,SYBR,,Unkn,,,"
"A21,SYBR,,Unkn,,,"
"A22,SYBR,,Unkn,,,"
"A23,SYBR,,Unkn,,,"
"A24,SYBR,,Unkn,,,"
"B01,SYBR,dapA,Unkn,dapA_0,24.28,"
"B02,SYBR,dapA,Unkn,dapA_2,24.2,"
"B03,SYBR,dapA,Unkn,dapA_3,23.97,"
"B04,SYBR,dapA,Unkn,dapA_4,23.64,"
"B05,SYBR,dapA,Unkn,dapA_5,24.68,"
"B06,SYBR,dapA,Unkn,dapA_6,24.16,"
"B07,SYBR,dapA,Unkn,dapA_7,23.92,"
"B08,SYBR,dapA,Unkn,dapA_8,23.4,"
"B09,SYBR,dapA,Unkn,dapA_9,23.11,"
"B10,SYBR,dapA,Unkn,dapA_10,22.23,"
"B11,SYBR,dapA,Unkn,dapA_11,21.17,"
"B12,SYBR,dapA,Unkn,dapA_12,21.23,"
"B13,SYBR,dapA,Unkn,dapA_negC,21.59,"
"B14,SYBR,dapB,Unkn,dapB_9,24.38,"
"B15,SYBR,,Unkn,,,"
"B16,SYBR,,Unkn,,,"
"B17,SYBR,,Unkn,,,"
"B18,SYBR,,Unkn,,,"
"B19,SYBR,,Unkn,,,"
"B20,SYBR,,Unkn,,,"
"B21,SYBR,,Unkn,,,"
"B22,SYBR,,Unkn,,,"
"B23,SYBR,,Unkn,,,"
"B24,SYBR,,Unkn,,,"
"C01,SYBR,dapA,Unkn,dapA_0,24.14,"
"C02,SYBR,dapA,Unkn,dapA_2,24.7,"
"C03,SYBR,dapA,Unkn,dapA_3,23.6,"
"C04,SYBR,dapA,Unkn,dapA_4,23.56,"
"C05,SYBR,dapA,Unkn,dapA_5,24.41,"
"C06,SYBR,dapA,Unkn,dapA_6,24.01,"
"C07,SYBR,dapA,Unkn,dapA_7,23.58,"
"C08,SYBR,dapA,Unkn,dapA_8,23.79,"
"C09,SYBR,dapA,Unkn,dapA_9,23.46,"
"C10,SYBR,dapA,Unkn,dapA_10,22.41,"
"C11,SYBR,dapA,Unkn,dapA_11,21.5,"
"C12,SYBR,dapA,Unkn,dapA_12,21.22,"
"C13,SYBR,dapA,Unkn,dapA_negC,21.46,"
"C14,SYBR,dapB,Unkn,dapB_9,24.16,"
"C15,SYBR,,Unkn,,,"
"C16,SYBR,,Unkn,,,"
"C17,SYBR,,Unkn,,,"
"C18,SYBR,,Unkn,,,"
"C19,SYBR,,Unkn,,,"
"C20,SYBR,,Unkn,,,"
"C21,SYBR,,Unkn,,,"
"C22,SYBR,,Unkn,,,"
"C23,SYBR,,Unkn,,,"
"C24,SYBR,,Unkn,,,"
"D01,SYBR,hcaT,Unkn,dapA_0,26.6,"
"D02,SYBR,hcaT,Unkn,dapA_2,26.38,"
"D03,SYBR,hcaT,Unkn,dapA_3,25.43,"
"D04,SYBR,hcaT,Unkn,dapA_4,25.65,"
"D05,SYBR,hcaT,Unkn,dapA_5,25.95,"
"D06,SYBR,hcaT,Unkn,dapA_6,25.97,"
"D07,SYBR,hcaT,Unkn,dapA_7,25.54,"
"D08,SYBR,hcaT,Unkn,dapA_8,24.73,"
"D09,SYBR,hcaT,Unkn,dapA_9,24.96,"
"D10,SYBR,hcaT,Unkn,dapA_10,25.06,"
"D11,SYBR,hcaT,Unkn,dapA_11,24.47,"
"D12,SYBR,hcaT,Unkn,dapA_12,23.66,"
"D13,SYBR,hcaT,Unkn,dapA_negC,24.66,"
"D14,SYBR,hcaT,Unkn,dapB_9,24.95,"
"D15,SYBR,,Unkn,,,"
"D16,SYBR,,Unkn,,,"
"D17,SYBR,,Unkn,,,"
"D18,SYBR,,Unkn,,,"
"D19,SYBR,,Unkn,,,"
"D20,SYBR,,Unkn,,,"
"D21,SYBR,,Unkn,,,"
"D22,SYBR,,Unkn,,,"
"D23,SYBR,,Unkn,,,"
"D24,SYBR,,Unkn,,,"
"E01,SYBR,hcaT,Unkn,dapA_0,26.3,"
"E02,SYBR,hcaT,Unkn,dapA_2,26.38,"
"E03,SYBR,hcaT,Unkn,dapA_3,25.8,"
"E04,SYBR,hcaT,Unkn,dapA_4,25.78,"
"E05,SYBR,hcaT,Unkn,dapA_5,25.98,"
"E06,SYBR,hcaT,Unkn,dapA_6,26.06,"
