Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,,
A02,SYBR,,Unkn,,,
A03,SYBR,,Unkn,,,
A04,SYBR,,Unkn,,,
A05,SYBR,,Unkn,,,
A06,SYBR,,Unkn,,,
A07,SYBR,,Unkn,,,
A08,SYBR,,Unkn,,,
A09,SYBR,,Unkn,,,
A10,SYBR,,Unkn,,,
A11,SYBR,,Unkn,,,
A12,SYBR,,Unkn,,,
A13,SYBR,,Unkn,,,
A14,SYBR,,Unkn,,,
A15,SYBR,serC,Unkn,serC_0,26.69,
A16,SYBR,serC,Unkn,serC_2,26,
A17,SYBR,serC,Unkn,serC_3,27.12,
A18,SYBR,serC,Unkn,serC_4,20.3,
A19,SYBR,serC,Unkn,serC_5,24.26,
A20,SYBR,serC,Unkn,serC_6,26.21,
A21,SYBR,serC,Unkn,serC_7,25.17,
A22,SYBR,serC,Unkn,serC_8,24.32,
A23,SYBR,serC,Unkn,serC_9,26.23,
A24,SYBR,serC,Unkn,serC_10,25.55,
B01,SYBR,,Unkn,,,
B02,SYBR,,Unkn,,,
B03,SYBR,,Unkn,,,
B04,SYBR,,Unkn,,,
B05,SYBR,,Unkn,,,
B06,SYBR,,Unkn,,,
B07,SYBR,,Unkn,,,
B08,SYBR,,Unkn,,,
B09,SYBR,,Unkn,,,
B10,SYBR,,Unkn,,,
B11,SYBR,,Unkn,,,
B12,SYBR,,Unkn,,,
B13,SYBR,,Unkn,,,
B14,SYBR,,Unkn,,,
B15,SYBR,serC,Unkn,serC_0,26.55,
B16,SYBR,serC,Unkn,serC_2,26.01,
B17,SYBR,serC,Unkn,serC_3,26.7,
B18,SYBR,serC,Unkn,serC_4,20.72,
B19,SYBR,serC,Unkn,serC_5,24.56,
B20,SYBR,serC,Unkn,serC_6,25.3,
B21,SYBR,serC,Unkn,serC_7,24.98,
B22,SYBR,serC,Unkn,serC_8,24.28,
B23,SYBR,serC,Unkn,serC_9,25.79,
B24,SYBR,serC,Unkn,serC_10,25.68,
C01,SYBR,,Unkn,,,
C02,SYBR,,Unkn,,,
C03,SYBR,,Unkn,,,
C04,SYBR,,Unkn,,,
C05,SYBR,,Unkn,,,
C06,SYBR,,Unkn,,,
C07,SYBR,,Unkn,,,
C08,SYBR,,Unkn,,,
C09,SYBR,,Unkn,,,
C10,SYBR,,Unkn,,,
C11,SYBR,,Unkn,,,
C12,SYBR,,Unkn,,,
C13,SYBR,,Unkn,,,
C14,SYBR,,Unkn,,,
C15,SYBR,serC,Unkn,serC_0,26.51,
C16,SYBR,serC,Unkn,serC_2,26.05,
C17,SYBR,serC,Unkn,serC_3,26.72,
C18,SYBR,serC,Unkn,serC_4,20.36,
C19,SYBR,serC,Unkn,serC_5,24.63,
C20,SYBR,serC,Unkn,serC_6,26.02,
C21,SYBR,serC,Unkn,serC_7,25.02,
C22,SYBR,serC,Unkn,serC_8,24.18,
C23,SYBR,serC,Unkn,serC_9,25.71,
C24,SYBR,serC,Unkn,serC_10,25.57,
D01,SYBR,,Unkn,,,
D02,SYBR,,Unkn,,,
D03,SYBR,,Unkn,,,
D04,SYBR,,Unkn,,,
D05,SYBR,,Unkn,,,
D06,SYBR,,Unkn,,,
D07,SYBR,,Unkn,,,
D08,SYBR,,Unkn,,,
D09,SYBR,,Unkn,,,
D10,SYBR,,Unkn,,,
D11,SYBR,,Unkn,,,
D12,SYBR,,Unkn,,,
D13,SYBR,,Unkn,,,
D14,SYBR,,Unkn,,,
D15,SYBR,hcaT,Unkn,serC_0,26.76,
D16,SYBR,hcaT,Unkn,serC_2,26.23,
D17,SYBR,hcaT,Unkn,serC_3,26.63,
D18,SYBR,hcaT,Unkn,serC_4,26.26,
D19,SYBR,hcaT,Unkn,serC_5,24.86,
D20,SYBR,hcaT,Unkn,serC_6,25.74,
D21,SYBR,hcaT,Unkn,serC_7,25.02,
D22,SYBR,hcaT,Unkn,serC_8,24.37,
D23,SYBR,hcaT,Unkn,serC_9,26.13,
D24,SYBR,hcaT,Unkn,serC_10,25.62,
E01,SYBR,,Unkn,,,
E02,SYBR,,Unkn,,,
E03,SYBR,,Unkn,,,
E04,SYBR,,Unkn,,,
E05,SYBR,,Unkn,,,
E06,SYBR,,Unkn,,,
E07,SYBR,,Unkn,,,
E08,SYBR,,Unkn,,,
