Well,Fluor,Target,Content,Sample,Cq,SQ,"**Wells were also used for a separate experiment, or were done following a different protocol. Labels indicates which measurements were made for this analysis."
A01,SYBR,,Unkn,,22.66522461,NaN,
A02,SYBR,,Unkn,,25.0424742,NaN,
A03,SYBR,,Unkn,,22.23790058,NaN,
A04,SYBR,,Unkn,,21.55970392,NaN,
A05,SYBR,,Unkn,,20.79690643,NaN,
A06,SYBR,,Unkn,,15.04714708,NaN,
A07,SYBR,topA,Unkn,topA1_C,22.34080764,NaN,
A08,SYBR,topA,Unkn,topA3_C,24.85149461,NaN,
A09,SYBR,,Unkn,,24.15784863,NaN,
A10,SYBR,,Unkn,,26.56708753,NaN,
A11,SYBR,,Unkn,,26.02257625,NaN,
A12,SYBR,,Unkn,,23.64506167,NaN,
A13,SYBR,ribB,Unkn,ribB1_C,21.48843833,NaN,
A14,SYBR,ribB,Unkn,ribB3_C,23.14758487,NaN,
A15,SYBR,,Unkn,,19.25702102,NaN,
A16,SYBR,,Unkn,,21.56807843,NaN,
A17,SYBR,,Unkn,,23.11259251,NaN,
A18,SYBR,topA,Unkn,Rand42_20200806,22.38353351,NaN,
A19,SYBR,,Unkn,,20.24660345,NaN,
A20,SYBR,,Unkn,,22.97670133,NaN,
A21,SYBR,,Unkn,,NaN,NaN,
A22,SYBR,,Unkn,,NaN,NaN,
A23,SYBR,,Unkn,,NaN,NaN,
A24,SYBR,,Unkn,,NaN,NaN,
B01,SYBR,,Unkn,,23.01843194,NaN,
B02,SYBR,,Unkn,,24.58451369,NaN,
B03,SYBR,,Unkn,,22.48391312,NaN,
B04,SYBR,,Unkn,,21.11648378,NaN,
B05,SYBR,,Unkn,,21.74372053,NaN,
B06,SYBR,,Unkn,,19.4164826,NaN,
B07,SYBR,topA,Unkn,topA1_C,22.01138281,NaN,
B08,SYBR,topA,Unkn,topA3_C,24.50873347,NaN,
B09,SYBR,,Unkn,,23.02768921,NaN,
B10,SYBR,,Unkn,,26.10226497,NaN,
B11,SYBR,,Unkn,,25.37719585,NaN,
B12,SYBR,,Unkn,,26.04759804,NaN,
B13,SYBR,ribB,Unkn,ribB1_C,21.04957958,NaN,
B14,SYBR,ribB,Unkn,ribB3_C,23.12806244,NaN,
B15,SYBR,,Unkn,,22.75679806,NaN,
B16,SYBR,,Unkn,,22.00173993,NaN,
B17,SYBR,,Unkn,,22.67631615,NaN,
B18,SYBR,topA,Unkn,Rand42_20200806,22.573733,NaN,
B19,SYBR,,Unkn,,21.96864013,NaN,
B20,SYBR,,Unkn,,23.0066851,NaN,
B21,SYBR,,Unkn,,NaN,NaN,
B22,SYBR,,Unkn,,NaN,NaN,
B23,SYBR,,Unkn,,NaN,NaN,
B24,SYBR,,Unkn,,NaN,NaN,
C01,SYBR,,Unkn,,21.97167249,NaN,
C02,SYBR,,Unkn,,24.95825964,NaN,
C03,SYBR,,Unkn,,22.21594956,NaN,
C04,SYBR,,Unkn,,21.07680845,NaN,
C05,SYBR,,Unkn,,21.3136883,NaN,
C06,SYBR,,Unkn,,20.18432666,NaN,
C07,SYBR,topA,Unkn,topA1_C,22.9917363,NaN,
C08,SYBR,topA,Unkn,topA3_C,24.4705926,NaN,
C09,SYBR,,Unkn,,22.45067652,NaN,
C10,SYBR,,Unkn,,26.08044207,NaN,
C11,SYBR,,Unkn,,25.55126048,NaN,
C12,SYBR,,Unkn,,24.23476827,NaN,
C13,SYBR,ribB,Unkn,ribB1_C,21.91661877,NaN,
C14,SYBR,ribB,Unkn,ribB3_C,22.82591146,NaN,
C15,SYBR,,Unkn,,20.01418092,NaN,
C16,SYBR,,Unkn,,21.85117631,NaN,
C17,SYBR,,Unkn,,22.80336306,NaN,
C18,SYBR,topA,Unkn,Rand42_20200806,22.33432715,NaN,
C19,SYBR,,Unkn,,22.35211171,NaN,
C20,SYBR,,Unkn,,22.09299724,NaN,
C21,SYBR,,Unkn,,NaN,NaN,
C22,SYBR,,Unkn,,NaN,NaN,
C23,SYBR,,Unkn,,NaN,NaN,
C24,SYBR,,Unkn,,NaN,NaN,
D01,SYBR,,Unkn,,21.34688183,NaN,
D02,SYBR,,Unkn,,22.26661267,NaN,
D03,SYBR,,Unkn,,21.17650946,NaN,
D04,SYBR,,Unkn,,21.66566557,NaN,
D05,SYBR,,Unkn,,21.52253294,NaN,
D06,SYBR,,Unkn,,21.03859285,NaN,
D07,SYBR,hcaT,Unkn,topA1_C,22.65517279,NaN,
