Gene ID,Gene,Colonies,Attemps,Percent,LB_22hr,MOPS_24hr,MOPS_48hr,,,,,,,
ECK0001,thrL,7,8,87.5 ,0.848 ,0.355 ,0.542 ,,,,,,,
ECK0002,thrA,6,8,75.0 ,0.793 ,0.023 ,0.040 ,,,,,,,
ECK0003,thrB,6,8,75.0 ,0.682 ,0.004 ,0.010 ,,,,,,,
ECK0004,thrC,5,8,62.5 ,0.625 ,0.000 ,0.000 ,,,,,,,
ECK0005,yaaX,8,8,100.0 ,0.836 ,0.382 ,0.469 ,,,,,,,
ECK0006,yaaA,8,8,100.0 ,0.784 ,0.376 ,0.396 ,,,,,,,
ECK0007,yaaJ,8,8,100.0 ,0.767 ,0.271 ,0.274 ,,,,,,,
ECK0008,talB,8,8,100.0 ,0.788 ,0.254 ,0.169 ,,,,,,,
ECK0009,mog,3,4,75.0 ,0.587 ,0.185 ,0.121 ,,,,,,,
ECK0010,yaaH,3,8,37.5 ,0.801 ,0.270 ,0.283 ,,,,,,,
ECK0011,yaaW,8,8,100.0 ,0.809 ,0.458 ,0.509 ,5'_overlap,,,,,,
ECK0012,htgA,8,8,100.0 ,0.759 ,0.343 ,0.386 ,5'_overlap,,,,,,
ECK0013,yaaI,4,8,50.0 ,0.779 ,0.388 ,0.410 ,,,,,,,
ECK0014,dnaK,6,8,75.0 ,0.465 ,0.261 ,0.276 ,,,,,,,
ECK0015,dnaJ,8,8,100.0 ,0.506 ,0.248 ,0.279 ,,,,,,,
ECK0016,insL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
ECK0017,hokC,3,8,37.5 ,0.712 ,0.429 ,0.474 ,,,,,,,
ECK0020,nhaA,5,8,62.5 ,0.485 ,0.287 ,0.331 ,,,,,,,
ECK0021,nhaR,4,4,100.0 ,0.738 ,0.329 ,0.398 ,,,,,,,
ECK0022,insB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
ECK0023,insA,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
ECK0024,rpsT,2,8,25.0 ,0.925 ,0.268 ,0.265 ,,,,,,,
ECK0025,yaaY,8,8,100.0 ,0.744 ,0.375 ,0.464 ,,,,,,,
ECK0026,ribF,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0027,ileS,2,8,25.0 ,0.575 ,0.311 ,0.333 ,,,,,,,
ECK0028,lspA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0029,fkpB,6,8,75.0 ,0.691 ,0.154 ,0.147 ,,,,,,,
ECK0030,ispH,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0031,rihC,6,8,75.0 ,0.803 ,0.230 ,0.263 ,,,,,,,
ECK0032,dapB,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0033,carA,6,8,75.0 ,0.663 ,0.003 ,0.002 ,,,,,,,
ECK0034,carB,6,8,75.0 ,0.489 ,0.000 ,0.000 ,,,,,,,
none,none,8,8,100.0 ,0.829 ,0.415 ,0.468 ,,,,,,,
ECK0035,caiF,5,8,62.5 ,0.768 ,0.245 ,0.315 ,,,,,,,
ECK0036,caiE,8,8,100.0 ,0.796 ,0.326 ,0.361 ,,,,,,,
ECK0037,caiD,2,8,25.0 ,0.688 ,0.168 ,0.104 ,,,,,,,
ECK0038,caiC,7,8,87.5 ,0.748 ,0.345 ,0.378 ,,,,,,,
ECK0039,caiB,8,8,100.0 ,0.736 ,0.409 ,0.419 ,,,,,,,
ECK0040,caiA,7,8,87.5 ,0.720 ,0.348 ,0.350 ,,,,,,,
ECK0041,caiT,8,8,100.0 ,0.697 ,0.217 ,0.106 ,,,,,,,
ECK0042,fixA,8,8,100.0 ,0.788 ,0.252 ,0.429 ,,,,,,,
ECK0043,fixB,4,8,50.0 ,0.643 ,0.244 ,0.285 ,,,,,,,
ECK0044,fixC,8,8,100.0 ,0.674 ,0.229 ,0.265 ,,,,,,,
ECK0045,fixX,7,8,87.5 ,0.759 ,0.301 ,0.340 ,,,,,,,
ECK0046,yaaU,6,8,75.0 ,0.768 ,0.341 ,0.391 ,,,,,,,
ECK0047,kefF,5,8,62.5 ,0.758 ,0.156 ,0.142 ,,,,,,,
ECK0048,kefC,7,8,87.5 ,0.756 ,0.363 ,0.424 ,5'_overlap,,,,,,
ECK0049,folA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0050,apaH,5,8,62.5 ,0.504 ,0.297 ,0.350 ,,,,,,,
ECK0051,apaG,8,8,100.0 ,0.630 ,0.258 ,0.139 ,,,,,,,
ECK0052,ksgA,4,8,50.0 ,0.764 ,0.282 ,0.286 ,,,,,,,
ECK0053,pdxA,7,8,87.5 ,0.709 ,0.008 ,0.006 ,,,,,,,
ECK0054,surA,8,8,100.0 ,0.366 ,0.255 ,0.251 ,,,,,,,
ECK0055,imp,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0056,djlA,4,4,100.0 ,0.786 ,0.274 ,0.320 ,,,,,,,
ECK0057,yabP,2,8,25.0 ,0.617 ,0.242 ,0.263 ,,,,,,,
ECK0058,yabQ,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0059,rluA,4,8,50.0 ,0.643 ,0.317 ,0.425 ,,,,,,,
ECK0060,hepA,8,8,100.0 ,0.812 ,0.400 ,0.500 ,,,,,,,
ECK0061,polB,5,8,62.5 ,0.722 ,0.401 ,0.404 ,,,,,,,
ECK0062,araD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (Genotypically disrupted),,,,,,
ECK0063,araA,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (Genotypically disrupted),,,,,,
ECK0064,araB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (Genotypically disrupted),,,,,,
ECK0065,araC,4,4,100.0 ,0.759 ,0.300 ,0.317 ,,,,,,,
ECK0066,yabI,8,8,100.0 ,0.795 ,0.290 ,0.318 ,,,,,,,
ECK0067,thiQ,8,8,100.0 ,0.872 ,0.208 ,0.449 ,5'_overlap,,,,,,
ECK0068,thiP,8,8,100.0 ,0.712 ,0.303 ,0.308 ,5'_overlap,,,,,,
ECK0069,tbpA,6,8,75.0 ,0.772 ,0.373 ,0.389 ,3'_overlap,,,,,,
ECK0070,sgrR,8,8,100.0 ,0.789 ,0.320 ,0.308 ,,,,,,,
ECK0072,setA,8,8,100.0 ,0.695 ,0.288 ,0.287 ,,,,,,,
ECK0073,leuD,6,8,75.0 ,0.769 ,0.032 ,0.032 ,,,,,,,
ECK0074,leuC,6,8,75.0 ,0.761 ,0.025 ,0.015 ,,,,,,,
ECK0075,leuB,7,8,87.5 ,0.726 ,0.018 ,0.033 ,,,,,,,
ECK0076,leuA,3,8,37.5 ,0.779 ,0.026 ,0.034 ,,,,,,,
ECK0077,leuL,7,8,87.5 ,0.761 ,0.031 ,0.033 ,,,,,,,
ECK0078,leuO,4,4,100.0 ,0.756 ,0.369 ,0.400 ,,,,,,,
ECK0079,ilvI,4,8,50.0 ,0.765 ,0.142 ,0.282 ,,,,,,,
ECK0080,ilvH,8,8,100.0 ,0.769 ,0.189 ,0.213 ,,,,,,,
ECK0081,fruR,4,4,100.0 ,0.627 ,0.259 ,0.280 ,,,,,,,
ECK0082,mraZ,8,8,100.0 ,0.808 ,0.248 ,0.313 ,,,,,,,
ECK0083,mraW,6,8,75.0 ,0.909 ,0.270 ,0.251 ,,,,,,,
ECK0084,ftsL,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0085,ftsI,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0086,murE,0,8,0.0 ,N.A.,N.A.,N.A.,5'_overlap,,,,,,
ECK0087,murF,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0088,mraY,0,8,0.0 ,N.A.,N.A.,N.A.,5'_overlap,,,,,,
ECK0089,murD,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0090,ftsW,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0091,murG,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0092,murC,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0093,ddlB,3,8,37.5 ,0.734 ,0.270 ,0.005 ,KN-primer redesign,,,,,,
ECK0094,ftsQ,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0095,ftsA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0096,ftsZ,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0097,lpxC,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0098,secM,1,8,12.5 ,N.A.,N.A.,N.A.,,,,,,,
ECK0099,secA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK0100,mutT,6,8,75.0 ,0.766 ,0.309 ,0.368 ,,,,,,,
ECK0101,yacG,4,8,50.0 ,0.688 ,0.334 ,0.355 ,,,,,,,
ECK0102,yacF,8,8,100.0 ,0.769 ,0.232 ,0.334 ,,,,,,,
ECK0103,coaE,2,8,25.0 ,0.869 ,0.333 ,0.335 ,,,,,,,
ECK0104,guaC,5,8,62.5 ,0.801 ,0.214 ,0.228 ,,,,,,,
ECK0105,hofC,6,8,75.0 ,0.731 ,0.597 ,0.903 ,5'_overlap,,,,,,
ECK0106,hofB,6,8,75.0 ,0.721 ,0.378 ,0.613 ,,,,,,,
ECK0107,ppdD,4,4,100.0 ,0.709 ,0.268 ,0.219 ,,,,,,,
ECK0108,nadC,8,8,100.0 ,0.628 ,0.035 ,0.114 ,,,,,,,
ECK0109,ampD,7,8,87.5 ,0.805 ,0.319 ,0.287 ,,,,,,,
ECK0110,ampE,7,8,87.5 ,0.708 ,0.238 ,0.244 ,,,,,,,
ECK0111,aroP,7,8,87.5 ,0.806 ,0.398 ,0.640 ,,,,,,,
ECK0112,pdhR,4,4,100.0 ,0.778 ,0.253 ,0.203 ,,,,,,,
