b number,NAME,PRODUCT-NAME,Class,Protein,RNA FISH
b0001,thrL,thr operon leader peptide,noessential,,
b0002,thrA,aspartate kinase / homoserine dehydrogenase,noessential,,
b0003,thrB,homoserine kinase,noessential,,
b0004,thrC,threonine synthase,noessential,,
b0005,yaaX,predicted protein,noessential,,
b0006,yaaA,conserved protein,noessential,1,
b0007,yaaJ,YaaJ alanine AGSS transporter,noessential,,
b0008,talB,transaldolase B,noessential,,
b0009,mog,predicted molybdochelatase,noessential,1,
b0010,yaaH,conserved inner membrane protein associated with acetate transport,noessential,,
b0011,yaaW,conserved protein,noessential,,
b0012,htgA,predicted DNA-binding transcriptional regulator,noessential,,
b0013,yaaI,predicted protein,noessential,,
b0014,dnaK,chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins,noessential,1,1
b0015,dnaJ,chaperone with DnaK; heat shock protein,noessential,1,
b0016,insL-1,IS186/IS421 transposase,noessential,,
b0018,mokC,regulatory peptide whose translation enables hokC (gef) expression,noessential,,
b0019,nhaA,NhaA sodium/proton transporter,noessential,,
b0020,nhaR,NhaR transcriptional activator,noessential,,
b0021,insB-1,IS1 protein InsB,noessential,,
b0022,insA-1,IS1 protein InsA,noessential,,
b0023,rpsT,30S ribosomal subunit protein S20,noessential,,
b0024,yaaY,predicted protein,noessential,,
b0025,ribF,bifunctional riboflavin kinase / FMN adenylyltransferase,essential,1,
b0026,ileS,isoleucyl-tRNA synthetase,essential,1,
b0027,lspA,prolipoprotein signal peptidase II,essential,,
b0028,fkpB,peptidylprolyl isomerase,noessential,,
b0029,ispH,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,essential,1,
b0030,rihC,ribonucleoside hydrolase 3,noessential,,
b0031,dapB,dihydrodipicolinate reductase,essential,1,
b0032,carA,carbamoyl phosphate synthetase,noessential,1,
b0033,carB,carbamoyl phosphate synthetase,noessential,,
b0034,caiF,CaiF transcriptional activator,noessential,,
b0035,caiE,caiE protein,noessential,,
b0036,caiD,crotonobetainyl-CoA hydratase / carnitine racemase,noessential,,
b0037,caiC,crotonobetaine-CoA ligase / carnitine-CoA ligase,noessential,,
b0038,caiB,CaiB monomer,noessential,,
b0039,caiA,crotonobetaine reductase,noessential,,
b0040,caiT,CaiT carnitine BCCT transporter,noessential,,
b0041,fixA,probable flavoprotein subunit required for anaerobic carnitine metabolism,noessential,,
b0042,fixB,probable flavoprotein subunit required for anaerobic carnitine metabolism,noessential,1,
b0043,fixC,flavoprotein (electron transport); possibly involved in anaerobic carnitine metabolism,noessential,1,
b0044,fixX,putative ferredoxin possibly involved in anaerobic carnitine metabolism,noessential,,
b0045,yaaU,YaaU,noessential,,
b0046,kefF,regulator of KefC-mediated potassium transport,noessential,,
b0047,kefC,KefC potassium CPA2 transporter,noessential,1,
b0048,folA,dihydrofolate reductase,essential,1,
b0049,apaH,diadenosine tetraphosphatase,noessential,,
b0050,apaG,hypothetical protein,noessential,1,
b0051,ksgA,S-adenosylmethionine-6-N';N'-adenosyl (rRNA) dimethyltransferase,noessential,,
b0052,pdxA,4-hydroxy-L-threonine phosphate dehydrogenase; NAD-dependent,noessential,,
b0053,surA,peptidyl-prolyl cis-trans isomerase (PPIase),noessential,1,
b0054,imp,exported protein required for envelope biosynthesis and integrity,essential,,
b0055,djlA,chaperone with DnaK,noessential,,
b0056,yabP,predicted protein,noessential,,
b0057,yabQ,predicted protein,noessential,,
b0058,rluA,23S rRNA and tRNA pseudouridine synthase,noessential,1,
b0059,hepA,RNA Polymerase (RNAP)-binding ATPase and RNAP recycling factor,noessential,1,
b0060,polB,DNA polymerase II,noessential,,
b0061,araD,L-ribulose 5-phosphate 4-epimerase monomer,noessential,,
b0062,araA,L-arabinose isomerase monomer,noessential,,
b0063,araB,L-ribulokinase monomer,noessential,1,
b0064,araC,AraC-Arabinose transcriptional activator,noessential,,
b0065,yabI,conserved inner membrane protein,noessential,,
b0066,thiQ,SfuC,noessential,,
b0067,thiP,SfuB,noessential,,
b0068,tbpA,SfuA,noessential,,
b0069,sgrR,SgrR transcriptional dual regulator,noessential,,
b0070,setA,SetA MFS transporter,noessential,,
b0071,leuD,isopropylmalate isomerase,noessential,,
b0072,leuC,isopropylmalate isomerase,noessential,,
b0073,leuB,3-isopropylmalate dehydrogenase,noessential,,
b0074,leuA,2-isopropylmalate synthase,noessential,,
b0075,leuL,leu operon leader peptide,noessential,,
b0076,leuO,LeuO transcriptional activator,noessential,,
b0077,ilvI,acetolactate synthase / acetohydroxybutanoate synthase,noessential,,
b0078,ilvH,acetolactate synthase / acetohydroxybutanoate synthase,noessential,,
b0080,fruR,FruR transcriptional dual regulator,noessential,1,
b0081,mraZ,conserved protein,noessential,1,
b0082,mraW,S-adenosyl-dependent methyltransferase,noessential,1,
b0083,ftsL,essential cell division protein FtsL,essential,,
b0084,ftsI,essential cell division protein FtsI; penicillin-binding protein 3,essential,,
b0085,murE,UDP-N-acetylmuramoylalanyl-D-glutamate 2;6-diaminopimelate ligase,essential,1,
b0086,murF,D-alanyl-D-alanine-adding enzyme,essential,1,
b0087,mraY,phospho-N-acetylmuramoyl-pentapeptide transferase,essential,,
b0088,murD,UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase,essential,,
b0089,ftsW,essential cell division protein FtsW,essential,,
b0090,murG,N-acetylglucosaminyl transferase,essential,1,
b0091,murC,UDP-N-acetylmuramate-alanine ligase,essential,,
b0092,ddlB,D-alanine-D-alanine ligase B,noessential,,
b0093,ftsQ,essential cell division protein FtsQ,essential,,
b0094,ftsA,essential cell division protein FtsA,essential,1,
b0095,ftsZ,essential cell division protein FtsZ,essential,,
b0096,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,essential,,
b0097,secM,secretion monitor that regulates SecA translation (General Secretory Pathway),essential,,
b0098,secA,Sec Protein Secretion Complex,essential,1,
b0099,mutT,dGTP pyrophosphohydrolase,noessential,1,
b0101,yacG,conserved hypothetical protein with a zinc finger,noessential,1,
b0102,yacF,conserved protein,noessential,,
b0103,coaE,dephospho-CoA kinase,essential,,
b0104,guaC,GMP reductase,noessential,1,
b0106,hofC,protein transport protein HofC,noessential,,
b0107,hofB,protein involved in plasmid replication,noessential,1,
b0108,ppdD,prepilin peptidase dependent protein,noessential,,
b0109,nadC,quinolinate phosphoribosyltransferase (decarboxylating) monomer,noessential,1,
b0110,ampD,N-acetyl-anhydromuramyl-L-alanine-amidase,noessential,,
b0111,ampE,predicted inner membrane protein,noessential,,
