,MOPS_24hr,Strand,Length,PID,Synonym,Code,COG,Location,Name,YFP,FISH,Copy_number,Chem.5-copy
acpS,0.0,-,126.0,16130488.0,b2563,-,COG0736I,2698640..2699020,holo-[acyl-carrier-protein] synthase,1.0,,33.0,21.0
argG,0.006,+,447.0,16131063.0,b3172,-,COG0137E,3316659..3318002,argininosuccinate synthase,1.0,,6788.0,3210.0
aroB,0.01,-,362.0,16131267.0,b3389,-,COG0337E,3515420..3516508,3-dehydroquinate synthase,1.0,,516.0,426.0
aroE,0.007,-,272.0,16131162.0,b3281,-,COG0169E,3428042..3428860,shikimate dehydrogenase,1.0,,220.0,135.0
birA,0.0,+,321.0,16131807.0,b3973,-,COG0340H,4171105..4172070,BirA transcriptional repressor; biotin-[acetyl-CoA-carboxylase] ligase,1.0,,4.0,0.0
carA,0.003,+,382.0,16128026.0,b0032,-,COG0505EF,29651..30799,carbamoyl phosphate synthetase,1.0,,8486.0,4019.0
dapA,0.0,-,292.0,16130403.0,b2478,-,COG0329EM,2596904..2597782,dihydrodipicolinate synthase,1.0,,3441.0,2026.0
dapB,0.0,+,273.0,16128025.0,b0031,-,COG0289E,28374..29195,dihydrodipicolinate reductase,1.0,,788.0,182.0
dnaA,0.0,-,467.0,16131570.0,b3702,-,COG0593L,3880349..3881752,DnaA transcriptional dual regulator,1.0,,107.0,44.0
dnaB,0.0,+,471.0,16131878.0,b4052,-,COG0305L,4262337..4263752,primosome,1.0,,176.0,114.0
dnaE,0.0,+,1160.0,16128177.0,b0184,-,COG0587L,205126..208608,DNA polymerase III; &alpha; subunit,1.0,,4.0,3.0
dnaX,0.0,+,643.0,16128454.0,b0470,-,COG2812L,491316..493247,DNA polymerase III; &gamma; subunit,1.0,,40.0,26.0
eno,0.0,-,432.0,16130686.0,b2779,-,COG0148G,2904665..2905963,degradosome,1.0,1.0,,13997.0
fabA,0.0,-,172.0,16128921.0,b0954,-,COG0764I,1015175..1015693,&beta;-hydroxyacyl-ACP dehydrase [multifunctional],1.0,,5526.0,7028.0
fabI,0.0,-,262.0,16129249.0,b1288,-,COG0623I,1348275..1349063,enoyl-ACP reductase (NAD[P]H) [multifunctional],1.0,1.0,6861.0,4044.0
fabZ,0.0,+,151.0,16128173.0,b0180,-,COG0764I,202101..202556,&beta;-hydroxyacyl-ACP dehydratase,1.0,1.0,1993.0,732.0
fbaA,0.0,-,359.0,16130826.0,b2925,-,COG0191G,3068187..3069266,fructose bisphosphate aldolase monomer,1.0,1.0,14635.0,10803.0
fmt,0.0,+,315.0,16131167.0,b3288,-,COG0223J,3432236..3433183,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,1.0,,,569.0
folA,0.0,+,159.0,16128042.0,b0048,-,COG0262H,49823..50302,dihydrofolate reductase,1.0,,415.0,536.0
folC,0.0,-,422.0,16130250.0,b2315,-,COG0285H,2429696..2430964,folylpoly-&gamma;-glutamate synthetase / dihydrofolate synthetase,1.0,,108.0,16.0
