,organism,%_match,BP_Match,NA,NA,MM-1,Len(match),LocF,LocR,Prob,Expect
fabA_2_88,CP032667.1,100,20,0,0,1,20,2865220,2865201,2.63E-04,40.1
fabA_2_88,CP032667.1,100,14,0,0,3,16,1283788,1283775,1,28.2
fabA_2_88,CP032667.1,100,13,0,0,5,17,1653861,1653873,4,26.3
fabA_2_88,CP032667.1,100,12,0,0,3,14,34527,34516,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,6,17,774421,774410,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,7,18,833924,833913,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,4,15,989646,989635,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,1,12,1363106,1363095,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,3,14,1488975,1488964,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,2,13,1614922,1614911,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,3,14,2163579,2163568,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,1,12,3432429,3432418,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,2,13,3522137,3522126,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,4,15,4240855,4240844,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,9,20,1562341,1562352,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,9,20,1605348,1605359,16,24.3
fabA_2_88,CP032667.1,93.75,16,1,0,5,20,2961701,2961716,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,1,12,3917160,3917171,16,24.3
fabA_2_88,CP032667.1,100,12,0,0,9,20,4175393,4175404,16,24.3
fabA_2_88,CP032667.1,100,11,0,0,8,18,217992,217982,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,252599,252589,62,22.3
fabA_2_88,CP032667.1,93.333,15,1,0,1,15,631898,631884,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,3,13,707295,707285,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,3,13,722807,722797,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,10,20,794908,794898,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,2,12,1360247,1360237,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,1549091,1549081,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,1590998,1590988,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,4,14,1608313,1608303,62,22.3
fabA_2_88,CP032667.1,93.333,15,1,0,1,15,1646321,1646307,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,3,13,1864119,1864109,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,1888494,1888484,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,8,18,2080596,2080586,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,10,20,2221426,2221416,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,2348084,2348074,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,2,12,3828030,3828020,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,2,12,4447383,4447373,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,5,15,4614156,4614146,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,6,16,477453,477463,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,4,14,750631,750641,62,22.3
fabA_2_88,CP032667.1,93.333,15,1,0,5,19,1688891,1688905,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,5,15,1979001,1979011,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,9,19,2156553,2156563,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,6,16,2331504,2331514,62,22.3
fabA_2_88,CP032667.1,93.333,15,1,0,3,17,2370495,2370509,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,4,14,2599849,2599859,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,3034927,3034937,62,22.3
fabA_2_88,CP032667.1,93.333,15,1,0,2,16,3345469,3345483,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,2,12,3551438,3551448,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,8,18,3707701,3707711,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,1,11,3783795,3783805,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,3,13,4516550,4516560,62,22.3
fabA_2_88,CP032667.1,100,11,0,0,3,13,4636669,4636679,62,22.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,26915,26906,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,57463,57454,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,62978,62969,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,79615,79606,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,167944,167935,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,201479,201470,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,256017,256008,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,289085,289076,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,7,16,401419,401410,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,4,13,519595,519586,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,550045,550036,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,582397,582388,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,594113,594104,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,609529,609520,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,8,17,616858,616849,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,619146,619137,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,753904,753895,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,776978,776969,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,883358,883349,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,964068,964059,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,1101155,1101146,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1116541,1116532,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,4,13,1126525,1126516,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1130522,1130513,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,1150098,1150089,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,4,13,1308122,1308113,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1435698,1435689,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,1503591,1503582,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1533003,1532994,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,1634659,1634650,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1635374,1635365,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1660898,1660889,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,1699324,1699315,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1769813,1769804,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,1775002,1774993,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,1893517,1893508,244,20.3
fabA_2_88,CP032667.1,92.857,14,1,0,6,19,1927716,1927703,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1932681,1932672,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,1942852,1942843,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,1970698,1970689,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,2000097,2000088,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,2013053,2013044,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,2027378,2027369,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,2131322,2131313,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,2132271,2132262,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,2161526,2161517,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,7,16,2270702,2270693,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,2293227,2293218,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,2309407,2309398,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,2442083,2442074,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,2475560,2475551,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,2691243,2691234,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,2753058,2753049,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,2821532,2821523,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,2854647,2854638,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,2929142,2929133,244,20.3
